code,name,type,typeName,address,phone,likeCount,mainMenu,price
4325,청진동해장국,1,한식,서울특별시 관악구 관악로 105 (봉천동) 동산빌딩1층,875-9882        ,252,뼈해장국,5000
4526,깡통참숯돼지갈비,1,한식,서울특별시 성북구 보문로30라길 17 (동선동2가),928-3343        ,9,삼겹살(200g),12000
4526,깡통참숯돼지갈비,1,한식,서울특별시 성북구 보문로30라길 17 (동선동2가),928-3343        ,9,돼지갈비(300g),12000
4826,김밥나라,1,한식,서울특별시 광진구 용마산로 52 (중곡동),446-2442        ,63,돈가스,4000
4826,김밥나라,1,한식,서울특별시 광진구 용마산로 52 (중곡동),446-2442        ,63,김밥,1500
4826,김밥나라,1,한식,서울특별시 광진구 용마산로 52 (중곡동),446-2442        ,63,라면,3000
4955,김밥천국,1,한식,서울특별시 강서구 가로공원로76길 61 (화곡동),02-2692-5955,8,된장찌개,5500
4955,김밥천국,1,한식,서울특별시 강서구 가로공원로76길 61 (화곡동),02-2692-5955,8,김밥,2000
4955,김밥천국,1,한식,서울특별시 강서구 가로공원로76길 61 (화곡동),02-2692-5955,8,돈가스,5500
5713,김밥나라,1,한식,서울특별시 강서구 양천로59길 46 (가양동),02-3664-8327,59,돈가스,5500
5713,김밥나라,1,한식,서울특별시 강서구 양천로59길 46 (가양동),02-3664-8327,59,김밥,1300
5959,금강숯불생고기,1,한식,서울특별시 광진구 용마산로7길 9 (중곡동),3437-9599       ,65,삼겹살,8000
5959,금강숯불생고기,1,한식,서울특별시 광진구 용마산로7길 9 (중곡동),3437-9599       ,65,갈비탕,5000
5959,금강숯불생고기,1,한식,서울특별시 광진구 용마산로7길 9 (중곡동),3437-9599       ,65,돼지갈비,8000
6052,소문난맛함흥냉면,1,한식,서울특별시 무학봉16길 1 (하왕십리동),2299-5537       ,5,한우소머리국밥,6000
6052,소문난맛함흥냉면,1,한식,서울특별시 무학봉16길 1 (하왕십리동),2299-5537       ,5,한우설렁탕,6000
6304,왕세숫대야냉면,1,한식,서울특별시 서대문구 수색로2길 7 (남가좌동),376-0877        ,5,냉면(물),4000
6304,왕세숫대야냉면,1,한식,서울특별시 서대문구 수색로2길 7 (남가좌동),376-0877        ,5,돈가스,5000
6325,연안식당,1,한식,서울특별시 서대문구 증가로 258 (북가좌동),302-3773        ,5,등심구이(300g 미국산),15000
6378,다비다식당,1,한식,서울특별시 광진구 동일로 444 (중곡동),466-1074        ,63,삼겹살(200g),10000
6384,자매식당,1,한식,서울특별시 광진구 구의로 16 (구의동),3437-8760       ,63,냉면,5000
6384,자매식당,1,한식,서울특별시 광진구 구의로 16 (구의동),3437-8760       ,63,비빔밥,5500
6384,자매식당,1,한식,서울특별시 광진구 구의로 16 (구의동),3437-8760       ,63,삼겹살,12000
6529,약속다방,4,기타외식업(다방패스트푸드등),서울특별시 종로구 종로 302 (창신동),764-1100   ,5,원두커피,2000
6529,약속다방,4,기타외식업(다방패스트푸드등),서울특별시 종로구 종로 302 (창신동),764-1100   ,5,녹차,2000
6665,산정,1,한식,서울특별시 중구 동호로 288 (장충동2가),2277-0913       ,9,된장찌개,6000
6665,산정,1,한식,서울특별시 중구 동호로 288 (장충동2가),2277-0913       ,9,김치전골(2인이상 주문 시 1인가격),8000
6734,해주냉면,1,한식,서울특별시 서대문구 연세로12길 37-3 (창천동),393-2990        ,5,냉면(물),4500
6739,신가네김밥타운,1,한식,서울특별시 서대문구 증가로25길 4 (북가좌동),373-1187        ,6,김밥,1000
6759,부부칼국수,1,한식,서울특별시 강서구 강서로56가길 47 (등촌동) 101호 동진빌딩,02-3662-4594,41,냉면,6000
6759,부부칼국수,1,한식,서울특별시 강서구 강서로56가길 47 (등촌동) 101호 동진빌딩,02-3662-4594,41,칼국수,6000
6764,토방 닭 한마리,1,한식,서울특별시 관악구 신림로22길 5 (신림동),874-6895        ,214,닭곰탕(육수+가슴살) ,6000
6764,토방 닭 한마리,1,한식,서울특별시 관악구 신림로22길 5 (신림동),874-6895        ,214,닭한마리,20000
6764,토방 닭 한마리,1,한식,서울특별시 관악구 신림로22길 5 (신림동),874-6895        ,214,닭칼국수,6000
6778,흥부농장,1,한식,서울특별시 광진구 뚝섬로59길 81-2 (자양동),3437-3611       ,64,냉면,4000
6778,흥부농장,1,한식,서울특별시 광진구 뚝섬로59길 81-2 (자양동),3437-3611       ,64,삼겹삽(200g),6000
6778,흥부농장,1,한식,서울특별시 광진구 뚝섬로59길 81-2 (자양동),3437-3611       ,64,김치찌개,5000
6856,자매식당,1,한식,서울특별시 동대문구 이문로28길 16 (이문동),967-9358        ,60,된장찌개,5000
6856,자매식당,1,한식,서울특별시 동대문구 이문로28길 16 (이문동),967-9358        ,60,순두부찌개,5000
6856,자매식당,1,한식,서울특별시 동대문구 이문로28길 16 (이문동),967-9358        ,60,김치찌개,5000
6871,궁원 중화요리,2,중식,서울특별시 동대문구 사가정로 229 (장안동),2212-7749       ,62,자장면,3000
6871,궁원 중화요리,2,중식,서울특별시 동대문구 사가정로 229 (장안동),2212-7749       ,62,짬뽕,4000
7058,연희골굼터,1,한식,서울특별시 서대문구 홍제천로 156-6 (연희동),3143-6883       ,5,김치찌개백반,6000
7058,연희골굼터,1,한식,서울특별시 서대문구 홍제천로 156-6 (연희동),3143-6883       ,5,삼겹살(180g 오스트리아산),6000
7058,연희골굼터,1,한식,서울특별시 서대문구 홍제천로 156-6 (연희동),3143-6883       ,5,된장찌개백반,5000
7142,제주토방탕수육,2,중식,서울특별시 송파구 성내천로 212 (마천동),431-0049,60,탕수육(돼지고기)소,11000
7142,제주토방탕수육,2,중식,서울특별시 송파구 성내천로 212 (마천동),431-0049,60,탕수육(돼지고기)중,14000
7142,제주토방탕수육,2,중식,서울특별시 송파구 성내천로 212 (마천동),431-0049,60,오징어탕수육 중,13000
7142,제주토방탕수육,2,중식,서울특별시 송파구 성내천로 212 (마천동),431-0049,60,오징어탕수육 소,11000
7142,제주토방탕수육,2,중식,서울특별시 송파구 성내천로 212 (마천동),431-0049,60,탕수육(돼지고기)대,15000
7299,백미식당,1,한식,서울특별시 강서구 공항대로59가길 25 (등촌동),02-3662-9288,56,된장찌개,5000
7299,백미식당,1,한식,서울특별시 강서구 공항대로59가길 25 (등촌동),02-3662-9288,56,김치찌개,5000
7338,우돈골,1,한식,서울특별시 송파구 위례성대로20길 24 (오금동),3401-4585,60,김치찌개된장찌개백반(점심특선),5000
7338,우돈골,1,한식,서울특별시 송파구 위례성대로20길 24 (오금동),3401-4585,60,등심(한우 600g),58000
7338,우돈골,1,한식,서울특별시 송파구 위례성대로20길 24 (오금동),3401-4585,60,등심(수입산.600g),25000
7338,우돈골,1,한식,서울특별시 송파구 위례성대로20길 24 (오금동),3401-4585,60,삼겹살(국내산 600g),22000
7340,동춘원,2,중식,서울특별시 중랑구 봉우재로71길 41 (망우동),02-434-9454,9,짜장,2500
7340,동춘원,2,중식,서울특별시 중랑구 봉우재로71길 41 (망우동),02-434-9454,9,짬뽕,3000
7348,와우돈까스,1,한식,서울특별시 중랑구 공릉로12가길 6 1층 (묵동),02-2209-3607,5,돈까스,5000
7348,와우돈까스,1,한식,서울특별시 중랑구 공릉로12가길 6 1층 (묵동),02-2209-3607,5,칼국수,5000
7392,춘천식당,1,한식,서울특별시 서대문구 수색로 42,309-2208,5,김치찌개백반,5000
7392,춘천식당,1,한식,서울특별시 서대문구 수색로 42,309-2208,5,된장찌개백반,4000
7392,춘천식당,1,한식,서울특별시 서대문구 수색로 42,309-2208,5,삼겹살(200g 호주산),7000
7428,신왕짜장,2,중식,서울특별시 관악구 난곡로 105 (신림동),839-9989,7,탕수육(중),16000
7428,신왕짜장,2,중식,서울특별시 관악구 난곡로 105 (신림동),839-9989,7,자장면,4000
7428,신왕짜장,2,중식,서울특별시 관악구 난곡로 105 (신림동),839-9989,7,짬뽕,5000
7442,훼밀리김밥,1,한식,서울특별시 송파구 성내천로21길 12 (마천동 신동아아파트),406-5415,5,김치찌개백반,4000
7442,훼밀리김밥,1,한식,서울특별시 송파구 성내천로21길 12 (마천동 신동아아파트),406-5415,5,비빔밥,4000
7442,훼밀리김밥,1,한식,서울특별시 송파구 성내천로21길 12 (마천동 신동아아파트),406-5415,5,김밥,1500
7442,훼밀리김밥,1,한식,서울특별시 송파구 성내천로21길 12 (마천동 신동아아파트),406-5415,5,돈가스,4500
7442,훼밀리김밥,1,한식,서울특별시 송파구 성내천로21길 12 (마천동 신동아아파트),406-5415,5,된장찌개백반,4000
7442,훼밀리김밥,1,한식,서울특별시 송파구 성내천로21길 12 (마천동 신동아아파트),406-5415,5,물냉면,5000
7442,훼밀리김밥,1,한식,서울특별시 송파구 성내천로21길 12 (마천동 신동아아파트),406-5415,5,칼국수,4000
7442,훼밀리김밥,1,한식,서울특별시 송파구 성내천로21길 12 (마천동 신동아아파트),406-5415,5,조리라면,2500
7501,한연수짜장,2,중식,서울특별시 송파구 송이로31길 4-11 (문정동),402-3414,60,자장면,3000
7501,한연수짜장,2,중식,서울특별시 송파구 송이로31길 4-11 (문정동),402-3414,60,탕수육(中),9000
7501,한연수짜장,2,중식,서울특별시 송파구 송이로31길 4-11 (문정동),402-3414,60,짬뽕,4000
7533,중앙한분식,1,한식,서울특별시 구로구 구로동로 126-20 (구로동),02-851-1064,5,된장찌개,5000
7533,중앙한분식,1,한식,서울특별시 구로구 구로동로 126-20 (구로동),02-851-1064,5,김치찌개,5000
7541,삼성회관,1,한식,서울특별시 중구 청구로3길 16 (신당동),02-2231-8520,6,청국장,7000
7541,삼성회관,1,한식,서울특별시 중구 청구로3길 16 (신당동),02-2231-8520,6,김치찌개,7000
7541,삼성회관,1,한식,서울특별시 중구 청구로3길 16 (신당동),02-2231-8520,6,차돌된장찌개,7000
7574,대림각,2,중식,서울특별시 노원구 섬밭로 263 (중계동),02-949-2748,9,자장면,3000
7595,다운이,1,한식,서울특별시 노원구 한글비석로 444 (상계동) 교림노원프라자 지하1층,02-937-1160,8,된장찌개,4000
7595,다운이,1,한식,서울특별시 노원구 한글비석로 444 (상계동) 교림노원프라자 지하1층,02-937-1160,8,김치찌개,4000
7601,대풍손칼국수,1,한식,서울특별시 성북구 보문로 129 (보문동2가),953-3060,5,칼국수,5000
7623,황금성,2,중식,서울특별시 서대문구 홍연길 91 (연희동),322-6005,3,탕수육 소,10000
7623,황금성,2,중식,서울특별시 서대문구 홍연길 91 (연희동),322-6005,3,자장면,3500
7623,황금성,2,중식,서울특별시 서대문구 홍연길 91 (연희동),322-6005,3,탕수육 중,18000
7623,황금성,2,중식,서울특별시 서대문구 홍연길 91 (연희동),322-6005,3,짬뽕,4000
7648,예가원,1,한식,서울특별시 영등포구 영신로32길 32 (영등포동4가),02-2675-6963,3,돼지갈비(300g),16000
7651,세림가든,1,한식,서울특별시 영등포구 경인로 874 (영등포동1가),02-2671-5678,8,돼지갈비,12000
7651,세림가든,1,한식,서울특별시 영등포구 경인로 874 (영등포동1가),02-2671-5678,8,냉면(물),5000
7653,제주흑돼지,1,한식,서울특별시 영등포구 영중로4길 5 (영등포동3가),02-2678-0610,7,김치찌개,7000
7653,제주흑돼지,1,한식,서울특별시 영등포구 영중로4길 5 (영등포동3가),02-2678-0610,7,불고기,15000
7657,지리산,1,한식,서울특별시 영등포구 여의나루로 67 (여의도동),02-761-1493,3,비빔밥,7000
7661,진국설렁탕,1,한식,서울특별시 영등포구 당산로46길 1 (당산동6가),02-2672-1666,3,설렁탕,7000
7663,소소한날,1,한식,서울특별시 영등포구 도림로 462 (문래동3가),02-2068-2220,22,돼지갈비,11000
7663,소소한날,1,한식,서울특별시 영등포구 도림로 462 (문래동3가),02-2068-2220,22,삼겹살,11000
7666,산고을,1,한식,서울특별시 영등포구 선유서로25길 5-1 (양평동2가),02-2632-0677,3,삼계탕,12000
7681,다솜한식전문,1,한식,서울특별시 영등포구 가마산로 338 (대림동),02-845-3212,3,된장찌개 백반,6000
7731,태능숯불갈비,1,한식,서울특별시 동대문구 고산자로30길 17 (용두동),966-5687,6,삼겹살(200g),13000
7780,한성축산식당,1,한식,서울특별시 마포구 연남로 33 (연남동),375-8447,3,돼지고기,12000
7780,한성축산식당,1,한식,서울특별시 마포구 연남로 33 (연남동),375-8447,3,등심,17000
7786,한우마당,1,한식,서울특별시 중구 남대문로5길 7 (북창동),02-3789-7792,64,차돌된장찌개,7000
7786,한우마당,1,한식,서울특별시 중구 남대문로5길 7 (북창동),02-3789-7792,64,생육회(200g),33000
7802,박리김밥,1,한식,서울특별시 중랑구 공릉로2길 22 (묵동),02-949-7101,23,김밥,1500
7802,박리김밥,1,한식,서울특별시 중랑구 공릉로2길 22 (묵동),02-949-7101,23,된장찌개,5000
7806,왕관커피숍,4,기타외식업(다방패스트푸드등),서울특별시 종로구 종로 222 (종로5가),2266-8365,3,커피,2000
7806,왕관커피숍,4,기타외식업(다방패스트푸드등),서울특별시 종로구 종로 222 (종로5가),2266-8365,3,국산차,2000
7812,퓨전 한마당,3,경양식일식,서울특별시 종로구 대학로5길 5 (연건동),741-3455,3,수제 돈까스,4000
7812,퓨전 한마당,3,경양식일식,서울특별시 종로구 대학로5길 5 (연건동),741-3455,3,비빔밥,4000
7813,삼삼뚝배기,1,한식,서울특별시 종로구 동숭길 51 (동숭동),765-4683,3,김치찌개,5000
7813,삼삼뚝배기,1,한식,서울특별시 종로구 동숭길 51 (동숭동),765-4683,3,된장찌개,5000
7832,뚝배기,1,한식,서울특별시 강동구 양재대로 1389 (성내동),476-6005,32,김치찌개,4500
7832,뚝배기,1,한식,서울특별시 강동구 양재대로 1389 (성내동),476-6005,32,된장찌개,4500
7833,별미 바지락칼국수,1,한식,서울특별시 강동구 풍성로 160 (성내동),470-7393,33,칼국수,6000
7833,별미 바지락칼국수,1,한식,서울특별시 강동구 풍성로 160 (성내동),470-7393,33,비빔밥,6000
7845,서울중국집,2,중식,서울특별시 송파구 백제고분로41길 43-15 (송파동),3432-5585,3,짬뽕,4500
7845,서울중국집,2,중식,서울특별시 송파구 백제고분로41길 43-15 (송파동),3432-5585,3,자장면,4000
7847,홍보성,2,중식,서울특별시 송파구 문정로4길 24-20 (문정동),400-4532,5,짬뽕,3500
7847,홍보성,2,중식,서울특별시 송파구 문정로4길 24-20 (문정동),400-4532,5,자장면,2500
7850,청해루,2,중식,서울특별시 송파구 거마로20길 17 (마천동),404-5586,6,탕수육(中),13000
7850,청해루,2,중식,서울특별시 송파구 거마로20길 17 (마천동),404-5586,6,자장면 ,3500
7850,청해루,2,중식,서울특별시 송파구 거마로20길 17 (마천동),404-5586,6,짬뽕,4500
7851,오백냥분식,1,한식,서울특별시 송파구 가락로 112 (석촌동),414-2261,236,된장찌개백반,4500
7851,오백냥분식,1,한식,서울특별시 송파구 가락로 112 (석촌동),414-2261,236,칼국수,4000
7851,오백냥분식,1,한식,서울특별시 송파구 가락로 112 (석촌동),414-2261,236,김밥,1500
7851,오백냥분식,1,한식,서울특별시 송파구 가락로 112 (석촌동),414-2261,236,김치찌개백반,4500
7852,신성김밥,1,한식,서울특별시 송파구 백제고분로22길 28 (삼전동 칸스빌),420-9563,3,물냉면,4000
7852,신성김밥,1,한식,서울특별시 송파구 백제고분로22길 28 (삼전동 칸스빌),420-9563,3,조리라면,2500
7852,신성김밥,1,한식,서울특별시 송파구 백제고분로22길 28 (삼전동 칸스빌),420-9563,3,김밥,1500
7855,일심해장국,1,한식,서울특별시 송파구 양산로 12 (거여동),407-6718,5,갈비탕,6000
7855,일심해장국,1,한식,서울특별시 송파구 양산로 12 (거여동),407-6718,5,해장국,4000
7899,길손한정식,1,한식,서울특별시 구로구 고척로40길 33-5 (고척동),02-2625-0277,7,삼겹살(수입산200g),6000
7899,길손한정식,1,한식,서울특별시 구로구 고척로40길 33-5 (고척동),02-2625-0277,7,설렁탕,4000
7899,길손한정식,1,한식,서울특별시 구로구 고척로40길 33-5 (고척동),02-2625-0277,7,갈비탕,5000
7901,대형갈비,1,한식,서울특별시 구로구 구로동로 100 (구로동),02-864-0719,7,돼지갈비(국내산200g),1000
7901,대형갈비,1,한식,서울특별시 구로구 구로동로 100 (구로동),02-864-0719,7,삼겹살(국내산200g),1000
7903,명가영양돌솥밥,1,한식,서울특별시 구로구 구로동로18길 12 (구로동),02-858-5977,7,삼겹살(국내산200g),11000
7903,명가영양돌솥밥,1,한식,서울특별시 구로구 구로동로18길 12 (구로동),02-858-5977,7,영양돌솥밥,7000
7904,보리밥 솥뚜껑 삼겹살,1,한식,서울특별시 구로구 개봉로15길 12 (개봉동),02-2682-4662,5,보리밥,6000
7904,보리밥 솥뚜껑 삼겹살,1,한식,서울특별시 구로구 개봉로15길 12 (개봉동),02-2682-4662,5,삼겹살(국내산200g),10000
7911,설가네부대찌개,1,한식,서울특별시 구로구 경인로 318-9 (개봉동),02-2613-2246,6,삼겹살(수입200g),9000
7931,황궁,2,중식,서울특별시 구로구 경인로47길 10 (고척동),02-2681-4554,5,짬뽕(홀기준),4000
7931,황궁,2,중식,서울특별시 구로구 경인로47길 10 (고척동),02-2681-4554,5,짜장면(홀기준),3500
7937,털보고된이,1,한식,서울특별시 은평구 통일로83길 9-1 (갈현동),02-383-9289,5,참치김치찌개,8000
7937,털보고된이,1,한식,서울특별시 은평구 통일로83길 9-1 (갈현동),02-383-9289,5,된장찌개,5000
7937,털보고된이,1,한식,서울특별시 은평구 통일로83길 9-1 (갈현동),02-383-9289,5,된장찌개,7000
7939,소백산영주한우,1,한식,서울특별시 은평구 은평로 187-3 (녹번동),02-358-1199,5,뚝불고기,7000
7939,소백산영주한우,1,한식,서울특별시 은평구 은평로 187-3 (녹번동),02-358-1199,5,한우갈비탕,10000
7967,화로가,1,한식,서울특별시 용산구 한강대로39길 5 (한강로2가),798-8480,3,김치찌개,6000
7967,화로가,1,한식,서울특별시 용산구 한강대로39길 5 (한강로2가),798-8480,3,삼겹살,10000
7967,화로가,1,한식,서울특별시 용산구 한강대로39길 5 (한강로2가),798-8480,3,비빔밥,6000
7971,함흥냉면(연백냉면),1,한식,서울특별시 송파구 새말로12길 7 (문정동),409-5054,4,냉면,4000
7972,콩나물국밥,1,한식,서울특별시 종로구 자하문로 3 (내자동),738-8223,3,순두부찌개,5000
7972,콩나물국밥,1,한식,서울특별시 종로구 자하문로 3 (내자동),738-8223,3,참치김치찌개,5000
7972,콩나물국밥,1,한식,서울특별시 종로구 자하문로 3 (내자동),738-8223,3,만두국,5000
7972,콩나물국밥,1,한식,서울특별시 종로구 자하문로 3 (내자동),738-8223,3,콩나물국밥,5000
8005,은혜김밥,1,한식,서울특별시 은평구 역말로9길 41 (대조동),02-359-0262,3,김치찌개,7000
8005,은혜김밥,1,한식,서울특별시 은평구 역말로9길 41 (대조동),02-359-0262,3,된장찌개,7000
8005,은혜김밥,1,한식,서울특별시 은평구 역말로9길 41 (대조동),02-359-0262,3,된장찌개,4500
8017,미락,1,한식,서울특별시 성북구 화랑로25길 13 (상월곡동),915-3334,3,돼지갈비(200g),5000
8017,미락,1,한식,서울특별시 성북구 화랑로25길 13 (상월곡동),915-3334,3,곰탕,6000
8017,미락,1,한식,서울특별시 성북구 화랑로25길 13 (상월곡동),915-3334,3,갈매기살(200g),8000
8017,미락,1,한식,서울특별시 성북구 화랑로25길 13 (상월곡동),915-3334,3,삼겹살(200g),7000
8018,보성각,2,중식,서울특별시 성북구 정릉로9길 56 (정릉동),913-4050,3,짬뽕,3500
8018,보성각,2,중식,서울특별시 성북구 정릉로9길 56 (정릉동),913-4050,3,자장면,2500
8018,보성각,2,중식,서울특별시 성북구 정릉로9길 56 (정릉동),913-4050,3,간짜장,3000
8018,보성각,2,중식,서울특별시 성북구 정릉로9길 56 (정릉동),913-4050,3,볶음밥,3500
8020,서울숯불갈비,1,한식,서울특별시 성북구 정릉로29길 8 (정릉동),912-1902,3,부대찌개,5000
8020,서울숯불갈비,1,한식,서울특별시 성북구 정릉로29길 8 (정릉동),912-1902,3,청국장,5000
8020,서울숯불갈비,1,한식,서울특별시 성북구 정릉로29길 8 (정릉동),912-1902,3,돼지갈비(200g),10000
8021,정릉갈비,1,한식,서울특별시 성북구 정릉로38길 8 (정릉동),916-9466,3,돼지갈비찜,6000
8021,정릉갈비,1,한식,서울특별시 성북구 정릉로38길 8 (정릉동),916-9466,3,삼겹살(200g),11000
8021,정릉갈비,1,한식,서울특별시 성북구 정릉로38길 8 (정릉동),916-9466,3,묵은지찜,6000
8021,정릉갈비,1,한식,서울특별시 성북구 정릉로38길 8 (정릉동),916-9466,3,돼지갈비(250g),10000
8025,홍두깨손칼국수,1,한식,서울특별시 성북구 보문로40길 5 (동소문동5가),953-5595,3,잔치국수,2000
8025,홍두깨손칼국수,1,한식,서울특별시 성북구 보문로40길 5 (동소문동5가),953-5595,3,칼국수,3000
8025,홍두깨손칼국수,1,한식,서울특별시 성북구 보문로40길 5 (동소문동5가),953-5595,3,수제비,3000
8031,화성각,2,중식,서울특별시 중랑구 면목로48길 37 (면목동),02-432-8301,3,자장면,3000
8031,화성각,2,중식,서울특별시 중랑구 면목로48길 37 (면목동),02-432-8301,3,짬뽕 ,4000
8036,할매김밥,1,한식,서울특별시 중랑구 동일로163길 17 (묵동),02-979-6227,3,김치찌개,4000
8036,할매김밥,1,한식,서울특별시 중랑구 동일로163길 17 (묵동),02-979-6227,3,된장찌개,4000
8043,영화속의 김밥이야기,1,한식,서울특별시 광진구 자양로 173 (구의동),444-5005,3,김밥,2000
8043,영화속의 김밥이야기,1,한식,서울특별시 광진구 자양로 173 (구의동),444-5005,3,돈가스,6000
8043,영화속의 김밥이야기,1,한식,서울특별시 광진구 자양로 173 (구의동),444-5005,3,라면,2500
8052,광나루찌개,1,한식,서울특별시 종로구 대학로5가길 1 (연건동),744-9260,3,김치찌개,6000
8052,광나루찌개,1,한식,서울특별시 종로구 대학로5가길 1 (연건동),744-9260,3,삼겹살,10000
8052,광나루찌개,1,한식,서울특별시 종로구 대학로5가길 1 (연건동),744-9260,3,된장찌개,6000
8054,수원성갈비,1,한식,서울특별시 종로구 창신3길 9 (창신동),745-3576,6,돼지갈비,10000
8055,먹고갈래지고갈래,1,한식,서울특별시 종로구 수표로 117 (낙원동),3673-1239,3,산채비빔밥,6000
8055,먹고갈래지고갈래,1,한식,서울특별시 종로구 수표로 117 (낙원동),3673-1239,3,삼계탕,12000
8055,먹고갈래지고갈래,1,한식,서울특별시 종로구 수표로 117 (낙원동),3673-1239,3,돈가스,6000
8057,한분식,1,한식,서울특별시 서대문구 홍연2길 2 (연희동),335-6712,3,된장찌개백반,5000
8068,겨울나그네,3,경양식일식,서울특별시 광진구 능동로 147 (화양동),498-3650,4,돈까스,4500
8069,분식나라,1,한식,서울특별시 중랑구 동일로140길 25 (중화동),02-2209-2833,3,김치찌개,6000
8072,한아름분식,1,한식,서울특별시 광진구 군자로 159 (군자동),469-2535,3,김치찌개,4500
8072,한아름분식,1,한식,서울특별시 광진구 군자로 159 (군자동),469-2535,3,된장찌개,4500
8076,솔잎식당,1,한식,서울특별시 마포구 마포대로4길 46 (도화동),717-2044,3,김치찌개,6000
8076,솔잎식당,1,한식,서울특별시 마포구 마포대로4길 46 (도화동),717-2044,3,우렁된장찌개,6000
8077,난짜장 넌짬뽕,2,중식,서울특별시 도봉구 도봉로 153길 26 (도봉동),02-956-0073,3,짬뽕 ,3000
8077,난짜장 넌짬뽕,2,중식,서울특별시 도봉구 도봉로 153길 26 (도봉동),02-956-0073,3,자장면,2500
8080,김밥타운,1,한식,서울특별시 도봉구 도당로15길 3 (방학동),02-956-2001,3,김밥,1500
